"","matching_names_BL_V7","matching_names_jetz"
"1098","Acanthiza nana","Acanthiza nana"
"1099","Smicrornis brevirostris","Smicrornis brevirostris"
"1100","Gerygone cinerea","Gerygone cinerea"
"1101","Gerygone chloronota","Gerygone chloronota"
"1102","Gerygone palpebrosa","Gerygone palpebrosa"
"1103","Gerygone olivacea","Gerygone olivacea"
"1104","Gerygone chrysogaster","Gerygone chrysogaster"
"1105","Gerygone magnirostris","Gerygone magnirostris"
"1106","Gerygone tenebrosa","Gerygone tenebrosa"
"1107","Gerygone sulphurea","Gerygone sulphurea"
"1108","Gerygone inornata","Gerygone inornata"
"1109","Gerygone ruficollis","Gerygone ruficollis"
"1110","Gerygone levigaster","Gerygone levigaster"
"1111","Gerygone fusca","Gerygone fusca"
"1112","Gerygone mouki","Gerygone mouki"
"1113","Amalocichla sclateriana","Amalocichla sclateriana"
"1114","Amalocichla incerta","Amalocichla incerta"
"1115","Monachella muelleriana","Monachella muelleriana"
"1116","Microeca fascinans","Microeca fascinans"
"1117","Microeca flavigaster","Microeca flavigaster"
"1118","Microeca griseoceps","Microeca griseoceps"
"1119","Microeca flavovirescens","Microeca flavovirescens"
"1120","Microeca papuana","Microeca papuana"
"1121","Eugerygone rubra","Eugerygone rubra"
"1122","Petroica bivittata","Petroica bivittata"
"1123","Petroica archboldi","Petroica archboldi"
"1124","Petroica multicolor","Petroica multicolor"
"1125","Petroica goodenovii","Petroica goodenovii"
"1126","Melanodryas cucullata","Melanodryas cucullata"
"1127","Tregellasia leucops","Tregellasia leucops"
"1128","Tregellasia capito","Tregellasia capito"
"1129","Eopsaltria australis","Eopsaltria australis"
"1130","Eopsaltria pulverulenta","Eopsaltria pulverulenta"
"1131","Poecilodryas brachyura","Poecilodryas brachyura"
"1132","Poecilodryas hypoleuca","Poecilodryas hypoleuca"
"1133","Poecilodryas superciliosa","Poecilodryas superciliosa"
"1134","Poecilodryas placens","Poecilodryas placens"
"1135","Poecilodryas albonotata","Poecilodryas albonotata"
"1136","Peneothello sigillatus","Peneothello sigillatus"
"1137","Peneothello cryptoleuca","Peneothello cryptoleuca"
"1138","Peneothello cyanus","Peneothello cyanus"
"1139","Peneothello bimaculata","Peneothello bimaculata"
"1140","Heteromyias albispecularis","Heteromyias albispecularis"
"1141","Pachycephalopsis hattamensis","Pachycephalopsis hattamensis"
"1142","Pachycephalopsis poliosoma","Pachycephalopsis poliosoma"
"1143","Drymodes superciliaris","Drymodes superciliaris"
"1144","Irena puella","Irena puella"
"1145","Irena cyanogastra","Irena cyanogastra"
"1146","Chloropsis flavipennis","Chloropsis flavipennis"
"1147","Chloropsis palawanensis","Chloropsis palawanensis"
"1148","Chloropsis sonnerati","Chloropsis sonnerati"
"1149","Chloropsis cyanopogon","Chloropsis cyanopogon"
"1150","Chloropsis cochinchinensis","Chloropsis cochinchinensis"
"1151","Chloropsis aurifrons","Chloropsis aurifrons"
"1152","Chloropsis hardwickii","Chloropsis hardwickii"
"1153","Chloropsis venusta","Chloropsis venusta"
"1154","Orthonyx spaldingii","Orthonyx spaldingii"
"1155","Pomatostomus isidorei","Pomatostomus isidorei"
"1156","Pomatostomus temporalis","Pomatostomus temporalis"
"1157","Lanius collurioides","Lanius collurioides"
"1158","Lanius schach","Lanius schach"
"1159","Lanius validirostris","Lanius validirostris"
"1160","Androphobus viridis","Androphobus viridis"
"1161","Psophodes olivaceus","Psophodes olivaceus"
"1162","Cinclosoma ajax","Cinclosoma ajax"
"1163","Ptilorrhoa leucosticta","Ptilorrhoa leucosticta"
"1164","Ptilorrhoa caerulescens","Ptilorrhoa caerulescens"
"1165","Ptilorrhoa castanonota","Ptilorrhoa castanonota"
"1166","Eupetes macrocerus","Eupetes macrocerus"
"1167","Ifrita kowaldi","Ifrita kowaldi"
"1168","Struthidea cinerea","Struthidea cinerea"
"1169","Daphoenositta chrysoptera","Daphoenositta chrysoptera"
"1170","Daphoenositta miranda","Daphoenositta miranda"
"1171","Falcunculus frontatus","Falcunculus frontatus"
"1172","Oreoica gutturalis","Oreoica gutturalis"
"1173","Rhagologus leucostigma","Rhagologus leucostigma"
"1174","Pachycare flavogriseum","Pachycare flavogriseum"
"1175","Hylocitrea bonensis","Hylocitrea bonensis"
"1176","Coracornis raveni","Coracornis raveni"
"1177","Aleadryas rufinucha","Aleadryas rufinucha"
"1178","Pachycephala grisola","Pachycephala grisola"
"1179","Pachycephala albiventris","Pachycephala albiventris"
"1180","Pachycephala homeyeri","Pachycephala homeyeri"
"1181","Pachycephala phaionota","Pachycephala phaionota"
"1182","Pachycephala hyperythra","Pachycephala hyperythra"
"1183","Pachycephala modesta","Pachycephala modesta"
"1184","Pachycephala hypoxantha","Pachycephala hypoxantha"
"1185","Pachycephala sulfuriventer","Pachycephala sulfuriventer"
"1186","Pachycephala philippinensis","Pachycephala philippinensis"
"1187","Pachycephala meyeri","Pachycephala meyeri"
"1188","Pachycephala simplex","Pachycephala simplex"
"1189","Pachycephala orpheus","Pachycephala orpheus"
"1190","Pachycephala pectoralis","Pachycephala pectoralis"
"1191","Pachycephala soror","Pachycephala soror"
"1192","Pachycephala lorentzi","Pachycephala lorentzi"
"1193","Pachycephala melanura","Pachycephala melanura"
"1194","Pachycephala schlegelii","Pachycephala schlegelii"
"1195","Pachycephala nudigula","Pachycephala nudigula"
"1196","Pachycephala aurea","Pachycephala aurea"
"1197","Pachycephala griseonota","Pachycephala griseonota"
"1198","Pachycephala monacha","Pachycephala monacha"
"1199","Pachycephala rufiventris","Pachycephala rufiventris"
"1200","Pachycephala lanioides","Pachycephala lanioides"
"1201","Colluricincla umbrina","Colluricincla umbrina"
"1202","Colluricincla megarhyncha","Colluricincla megarhyncha"
"1203","Colluricincla boweri","Colluricincla boweri"
"1204","Colluricincla woodwardi","Colluricincla woodwardi"
"1205","Colluricincla harmonica","Colluricincla harmonica"
"1206","Pitohui kirhocephalus","Pitohui kirhocephalus"
"1207","Pitohui dichrous","Pitohui dichrous"
"1208","Pitohui incertus","Pitohui incertus"
"1209","Pitohui ferrugineus","Pitohui ferrugineus"
"1210","Pitohui cristatus","Pitohui cristatus"
"1211","Pitohui nigrescens","Pitohui nigrescens"
"1212","Eulacestoma nigropectus","Eulacestoma nigropectus"
"1213","Platylophus galericulatus","Platylophus galericulatus"
"1214","Platysmurus leucopterus","Platysmurus leucopterus"
"1215","Garrulus glandarius","Garrulus glandarius"
"1216","Urocissa erythrorhyncha","Urocissa erythrorhyncha"
"1217","Urocissa whiteheadi","Urocissa whiteheadi"
"1218","Cissa chinensis","Cissa chinensis"
"1219","Cissa hypoleuca","Cissa hypoleuca"
"1220","Cissa thalassina","Cissa thalassina"
"1221","Dendrocitta vagabunda","Dendrocitta vagabunda"
"1222","Dendrocitta formosae","Dendrocitta formosae"
"1223","Dendrocitta occipitalis","Dendrocitta occipitalis"
"1224","Crypsirina temia","Crypsirina temia"
"1225","Crypsirina cucullata","Crypsirina cucullata"
"1226","Temnurus temnurus","Temnurus temnurus"
"1227","Pica pica","Pica pica"
"1228","Corvus splendens","Corvus splendens"
"1229","Corvus enca","Corvus enca"
"1230","Corvus typicus","Corvus typicus"
"1231","Corvus florensis","Corvus florensis"
"1232","Corvus validus","Corvus validus"
"1233","Corvus meeki","Corvus meeki"
"1234","Corvus woodfordi","Corvus woodfordi"
"1235","Corvus fuscicapillus","Corvus fuscicapillus"
"1236","Corvus tristis","Corvus tristis"
"1237","Corvus macrorhynchos","Corvus macrorhynchos"
"1238","Corvus levaillantii","Corvus levaillantii"
"1239","Corvus orru","Corvus orru"
"1240","Corvus bennetti","Corvus bennetti"
"1241","Corvus coronoides","Corvus coronoides"
"1242","Corvus torquatus","Corvus torquatus"
"1243","Melampitta lugubris","Melampitta lugubris"
"1244","Loboparadisea sericea","Loboparadisea sericea"
"1245","Cnemophilus macgregorii","Cnemophilus macgregorii"
"1246","Cnemophilus loriae","Cnemophilus loriae"
"1247","Macgregoria pulchra","Macgregoria pulchra"
"1248","Lycocorax pyrrhopterus","Lycocorax pyrrhopterus"
"1249","Manucodia ater","Manucodia ater"
"1250","Manucodia chalybatus","Manucodia chalybatus"
"1251","Manucodia jobiensis","Manucodia jobiensis"
"1252","Manucodia keraudrenii","Manucodia keraudrenii"
"1253","Semioptera wallacii","Semioptera wallacii"
"1254","Paradigalla carunculata","Paradigalla carunculata"
"1255","Paradigalla brevicauda","Paradigalla brevicauda"
"1256","Epimachus fastuosus","Epimachus fastuosus"
"1257","Epimachus meyeri","Epimachus meyeri"
"1258","Epimachus albertisi","Epimachus albertisi"
"1259","Epimachus bruijnii","Epimachus bruijnii"
"1260","Lophorina superba","Lophorina superba"
"1261","Parotia sefilata","Parotia sefilata"
"1262","Parotia carolae","Parotia carolae"
"1263","Parotia lawesii","Parotia lawesii"
"1264","Parotia helenae","Parotia helenae"
"1265","Ptiloris magnificus","Ptiloris magnificus"
"1266","Ptiloris intercedens","Ptiloris intercedens"
"1267","Ptiloris victoriae","Ptiloris victoriae"
"1268","Cicinnurus magnificus","Cicinnurus magnificus"
"1269","Cicinnurus respublica","Cicinnurus respublica"
"1270","Cicinnurus regius","Cicinnurus regius"
"1271","Astrapia nigra","Astrapia nigra"
"1272","Astrapia splendidissima","Astrapia splendidissima"
"1273","Astrapia mayeri","Astrapia mayeri"
"1274","Astrapia stephaniae","Astrapia stephaniae"
"1275","Astrapia rothschildi","Astrapia rothschildi"
"1276","Pteridophora alberti","Pteridophora alberti"
"1277","Seleucidis melanoleucus","Seleucidis melanoleucus"
"1278","Paradisaea rubra","Paradisaea rubra"
"1279","Paradisaea minor","Paradisaea minor"
"1280","Paradisaea apoda","Paradisaea apoda"
"1281","Paradisaea raggiana","Paradisaea raggiana"
"1282","Paradisaea guilielmi","Paradisaea guilielmi"
"1283","Paradisaea rudolphi","Paradisaea rudolphi"
"1284","Cracticus mentalis","Cracticus mentalis"
"1285","Cracticus torquatus","Cracticus torquatus"
"1286","Cracticus cassicus","Cracticus cassicus"
"1287","Cracticus nigrogularis","Cracticus nigrogularis"
"1288","Cracticus quoyi","Cracticus quoyi"
"1289","Gymnorhina tibicen","Gymnorhina tibicen"
"1290","Strepera graculina","Strepera graculina"
"1291","Artamus fuscus","Artamus fuscus"
"1292","Artamus leucorynchus","Artamus leucorynchus"
"1293","Artamus monachus","Artamus monachus"
"1294","Artamus maximus","Artamus maximus"
"1295","Artamus insignis","Artamus insignis"
"1296","Artamus personatus","Artamus personatus"
"1297","Artamus superciliosus","Artamus superciliosus"
"1298","Artamus cinereus","Artamus cinereus"
"1299","Artamus cyanopterus","Artamus cyanopterus"
"1300","Artamus minor","Artamus minor"
"1301","Pityriasis gymnocephala","Pityriasis gymnocephala"
"1302","Peltops blainvillii","Peltops blainvillii"
"1303","Peltops montanus","Peltops montanus"
"1304","Oriolus melanotis","Oriolus melanotis"
"1305","Oriolus bouroensis","Oriolus bouroensis"
"1306","Oriolus forsteni","Oriolus forsteni"
"1307","Oriolus phaeochromus","Oriolus phaeochromus"
"1308","Oriolus szalayi","Oriolus szalayi"
"1309","Oriolus sagittatus","Oriolus sagittatus"
"1310","Oriolus flavocinctus","Oriolus flavocinctus"
"1311","Oriolus xanthonotus","Oriolus xanthonotus"
"1312","Oriolus steerii","Oriolus steerii"
"1313","Oriolus albiloris","Oriolus albiloris"
"1314","Oriolus isabellae","Oriolus isabellae"
"1315","Oriolus chinensis","Oriolus chinensis"
"1316","Oriolus tenuirostris","Oriolus tenuirostris"
"1317","Oriolus xanthornus","Oriolus xanthornus"
"1318","Oriolus hosii","Oriolus hosii"
"1319","Oriolus cruentus","Oriolus cruentus"
"1320","Oriolus traillii","Oriolus traillii"
"1321","Sphecotheres vieilloti","Sphecotheres vieilloti"
"1322","Sphecotheres viridis","Sphecotheres viridis"
"1323","Coracina maxima","Coracina maxima"
"1324","Coracina larvata","Coracina larvata"
"1325","Coracina macei","Coracina macei"
"1326","Coracina javensis","Coracina javensis"
"1327","Coracina schistacea","Coracina schistacea"
"1328","Coracina personata","Coracina personata"
"1329","Coracina atriceps","Coracina atriceps"
"1330","Coracina fortis","Coracina fortis"
"1331","Coracina caledonica","Coracina caledonica"
"1332","Coracina novaehollandiae","Coracina novaehollandiae"
"1333","Coracina caeruleogrisea","Coracina caeruleogrisea"
"1334","Coracina temminckii","Coracina temminckii"
"1335","Coracina striata","Coracina striata"
"1336","Coracina bicolor","Coracina bicolor"
"1337","Coracina lineata","Coracina lineata"
"1338","Coracina boyeri","Coracina boyeri"
"1339","Coracina leucopygia","Coracina leucopygia"
"1340","Coracina papuensis","Coracina papuensis"
"1341","Coracina longicauda","Coracina longicauda"
"1342","Coracina parvula","Coracina parvula"
"1343","Coracina abbotti","Coracina abbotti"
"1344","Coracina coerulescens","Coracina coerulescens"
"1345","Coracina tenuirostris","Coracina tenuirostris"
"1346","Coracina dohertyi","Coracina dohertyi"
"1347","Coracina mindanensis","Coracina mindanensis"
"1348","Coracina morio","Coracina morio"
"1349","Coracina ceramensis","Coracina ceramensis"
"1350","Coracina incerta","Coracina incerta"
"1351","Coracina schisticeps","Coracina schisticeps"
"1352","Coracina melas","Coracina melas"
"1353","Coracina montana","Coracina montana"
"1354","Coracina holopolia","Coracina holopolia"
"1355","Coracina mcgregori","Coracina mcgregori"
"1356","Coracina ostenta","Coracina ostenta"
"1357","Coracina polioptera","Coracina polioptera"
"1358","Coracina melaschistos","Coracina melaschistos"
"1359","Coracina fimbriata","Coracina fimbriata"
"1360","Campochaera sloetii","Campochaera sloetii"
"1361","Lalage melanoleuca","Lalage melanoleuca"
"1362","Lalage nigra","Lalage nigra"
"1363","Lalage leucopygialis","Lalage leucopygialis"
"1364","Lalage sueurii","Lalage sueurii"
"1365","Lalage tricolor","Lalage tricolor"
"1366","Lalage aurea","Lalage aurea"
"1367","Lalage atrovirens","Lalage atrovirens"
"1368","Lalage leucomela","Lalage leucomela"
"1369","Pericrocotus roseus","Pericrocotus roseus"
"1370","Pericrocotus cinnamomeus","Pericrocotus cinnamomeus"
"1371","Pericrocotus igneus","Pericrocotus igneus"
"1372","Pericrocotus lansbergei","Pericrocotus lansbergei"
"1373","Pericrocotus erythropygius","Pericrocotus erythropygius"
"1374","Pericrocotus solaris","Pericrocotus solaris"
"1375","Pericrocotus ethologus","Pericrocotus ethologus"
"1376","Pericrocotus brevirostris","Pericrocotus brevirostris"
"1377","Pericrocotus miniatus","Pericrocotus miniatus"
"1378","Pericrocotus flammeus","Pericrocotus flammeus"
"1379","Hemipus picatus","Hemipus picatus"
"1380","Hemipus hirundinaceus","Hemipus hirundinaceus"
"1381","Rhipidura superciliaris","Rhipidura superciliaris"
"1382","Rhipidura cyaniceps","Rhipidura cyaniceps"
"1383","Rhipidura phoenicura","Rhipidura phoenicura"
"1384","Rhipidura nigrocinnamomea","Rhipidura nigrocinnamomea"
"1385","Rhipidura albicollis","Rhipidura albicollis"
"1386","Rhipidura euryura","Rhipidura euryura"
"1387","Rhipidura aureola","Rhipidura aureola"
"1388","Rhipidura javanica","Rhipidura javanica"
"1389","Rhipidura perlata","Rhipidura perlata"
"1390","Rhipidura leucophrys","Rhipidura leucophrys"
"1391","Rhipidura diluta","Rhipidura diluta"
"1392","Rhipidura rufiventris","Rhipidura rufiventris"
"1393","Rhipidura cockerelli","Rhipidura cockerelli"
"1394","Rhipidura threnothorax","Rhipidura threnothorax"
"1395","Rhipidura maculipectus","Rhipidura maculipectus"
"1396","Rhipidura leucothorax","Rhipidura leucothorax"
"1397","Rhipidura atra","Rhipidura atra"
"1398","Rhipidura hyperythra","Rhipidura hyperythra"
"1399","Rhipidura albolimbata","Rhipidura albolimbata"
"1400","Rhipidura phasiana","Rhipidura phasiana"
"1401","Rhipidura brachyrhyncha","Rhipidura brachyrhyncha"
"1402","Rhipidura teysmanni","Rhipidura teysmanni"
"1403","Rhipidura superflua","Rhipidura superflua"
"1404","Rhipidura dedemi","Rhipidura dedemi"
"1405","Rhipidura rufidorsa","Rhipidura rufidorsa"
"1406","Rhipidura dahli","Rhipidura dahli"
"1407","Rhipidura rufifrons","Rhipidura rufifrons"
"1408","Chaetorhynchus papuensis","Chaetorhynchus papuensis"
"1409","Dicrurus macrocercus","Dicrurus macrocercus"
"1410","Dicrurus leucophaeus","Dicrurus leucophaeus"
"1411","Dicrurus annectans","Dicrurus annectans"
"1412","Dicrurus aeneus","Dicrurus aeneus"
"1413","Dicrurus remifer","Dicrurus remifer"
"1414","Dicrurus hottentottus","Dicrurus hottentottus"
"1415","Dicrurus sumatranus","Dicrurus sumatranus"
"1416","Dicrurus montanus","Dicrurus montanus"
"1417","Dicrurus densus","Dicrurus densus"
"1418","Dicrurus balicassius","Dicrurus balicassius"
"1419","Dicrurus bracteatus","Dicrurus bracteatus"
"1420","Dicrurus megarhynchus","Dicrurus megarhynchus"
"1421","Dicrurus paradiseus","Dicrurus paradiseus"
"1422","Hypothymis helenae","Hypothymis helenae"
"1423","Hypothymis coelestis","Hypothymis coelestis"
"1424","Hypothymis azurea","Hypothymis azurea"
"1425","Terpsiphone paradisi","Terpsiphone paradisi"
"1426","Terpsiphone cinnamomea","Terpsiphone cinnamomea"
"1427","Terpsiphone cyanescens","Terpsiphone cyanescens"
"1428","Monarcha axillaris","Monarcha axillaris"
"1429","Monarcha rubiensis","Monarcha rubiensis"
"1430","Monarcha cinerascens","Monarcha cinerascens"
"1431","Monarcha frater","Monarcha frater"
"1432","Monarcha melanopsis","Monarcha melanopsis"
"1433","Monarcha erythrostictus","Monarcha erythrostictus"
"1434","Monarcha castaneiventris","Monarcha castaneiventris"
"1435","Monarcha pileatus","Monarcha pileatus"
"1436","Monarcha leucotis","Monarcha leucotis"
"1437","Monarcha guttula","Monarcha guttula"
"1438","Monarcha trivirgatus","Monarcha trivirgatus"
"1439","Monarcha loricatus","Monarcha loricatus"
"1440","Monarcha manadensis","Monarcha manadensis"
"1441","Monarcha verticalis","Monarcha verticalis"
"1442","Monarcha barbatus","Monarcha barbatus"
"1443","Monarcha chrysomela","Monarcha chrysomela"
"1444","Arses telescophthalmus","Arses telescophthalmus"
"1445","Arses insularis","Arses insularis"
"1446","Arses kaupi","Arses kaupi"
"1447","Myiagra galeata","Myiagra galeata"
"1448","Myiagra rubecula","Myiagra rubecula"
"1449","Myiagra ferrocyanea","Myiagra ferrocyanea"
"1450","Myiagra ruficollis","Myiagra ruficollis"
"1451","Myiagra cyanoleuca","Myiagra cyanoleuca"
"1452","Myiagra inquieta","Myiagra inquieta"
"1453","Myiagra alecto","Myiagra alecto"
"1454","Myiagra hebetior","Myiagra hebetior"
"1455","Machaerirhynchus flaviventer","Machaerirhynchus flaviventer"
"1456","Machaerirhynchus nigripectus","Machaerirhynchus nigripectus"
"1457","Grallina cyanoleuca","Grallina cyanoleuca"
"1458","Grallina bruijni","Grallina bruijni"
"1459","Aegithina tiphia","Aegithina tiphia"
"1460","Aegithina viridissima","Aegithina viridissima"
"1461","Aegithina lafresnayei","Aegithina lafresnayei"
"1462","Philentoma pyrhoptera","Philentoma pyrhoptera"
"1463","Philentoma velata","Philentoma velata"
"1464","Tephrodornis gularis","Tephrodornis gularis"
"1465","Tephrodornis pondicerianus","Tephrodornis pondicerianus"
"1466","Cinclus pallasii","Cinclus pallasii"
"1467","Monticola solitarius","Monticola solitarius"
"1468","Myophonus melanurus","Myophonus melanurus"
"1469","Myophonus glaucinus","Myophonus glaucinus"
"1470","Myophonus robinsoni","Myophonus robinsoni"
"1471","Myophonus caeruleus","Myophonus caeruleus"
"1472","Geomalia heinrichi","Geomalia heinrichi"
"1473","Zoothera dumasi","Zoothera dumasi"
"1474","Zoothera interpres","Zoothera interpres"
"1475","Zoothera erythronota","Zoothera erythronota"
"1476","Zoothera dohertyi","Zoothera dohertyi"
"1477","Zoothera cinerea","Zoothera cinerea"
"1478","Zoothera peronii","Zoothera peronii"
"1479","Zoothera citrina","Zoothera citrina"
"1480","Zoothera andromedae","Zoothera andromedae"
"1481","Zoothera dauma","Zoothera dauma"
"1482","Zoothera lunulata","Zoothera lunulata"
"1483","Zoothera heinei","Zoothera heinei"
"1484","Zoothera talaseae","Zoothera talaseae"
"1485","Zoothera monticola","Zoothera monticola"
"1486","Zoothera marginata","Zoothera marginata"
"1487","Cataponera turdoides","Cataponera turdoides"
"1488","Turdus dissimilis","Turdus dissimilis"
"1489","Turdus boulboul","Turdus boulboul"
"1490","Turdus poliocephalus","Turdus poliocephalus"
"1491","Chlamydochaera jefferyi","Chlamydochaera jefferyi"
"1492","Brachypteryx leucophrys","Brachypteryx leucophrys"
"1493","Brachypteryx montana","Brachypteryx montana"
"1494","Heinrichia calligyna","Heinrichia calligyna"
"1495","Rhinomyias additus","Rhinomyias additus"
"1496","Rhinomyias oscillans","Rhinomyias oscillans"
"1497","Rhinomyias olivaceus","Rhinomyias olivaceus"
"1498","Rhinomyias umbratilis","Rhinomyias umbratilis"
"1499","Rhinomyias ruficauda","Rhinomyias ruficauda"
"1500","Rhinomyias colonus","Rhinomyias colonus"
"1501","Rhinomyias gularis","Rhinomyias gularis"
"1502","Rhinomyias insignis","Rhinomyias insignis"
"1503","Rhinomyias albigularis","Rhinomyias albigularis"
"1504","Rhinomyias goodfellowi","Rhinomyias goodfellowi"
"1505","Muscicapa dauurica","Muscicapa dauurica"
"1506","Muscicapa randi","Muscicapa randi"
"1507","Muscicapa segregata","Muscicapa segregata"
"1508","Muscicapa muttui","Muscicapa muttui"
"1509","Ficedula strophiata","Ficedula strophiata"
"1510","Ficedula monileger","Ficedula monileger"
"1511","Ficedula solitaris","Ficedula solitaris"
"1512","Ficedula hyperythra","Ficedula hyperythra"
"1513","Ficedula dumetoria","Ficedula dumetoria"
"1514","Ficedula rufigula","Ficedula rufigula"
"1515","Ficedula buruensis","Ficedula buruensis"
"1516","Ficedula basilanica","Ficedula basilanica"
"1517","Ficedula harterti","Ficedula harterti"
"1518","Ficedula platenae","Ficedula platenae"
"1519","Ficedula crypta","Ficedula crypta"
"1520","Ficedula disposita","Ficedula disposita"
"1521","Ficedula westermanni","Ficedula westermanni"
"1522","Ficedula tricolor","Ficedula tricolor"
"1523","Ficedula sapphira","Ficedula sapphira"
"1524","Ficedula timorensis","Ficedula timorensis"
"1525","Eumyias thalassinus","Eumyias thalassinus"
"1526","Eumyias panayensis","Eumyias panayensis"
"1527","Eumyias indigo","Eumyias indigo"
"1528","Niltava grandis","Niltava grandis"
"1529","Niltava macgrigoriae","Niltava macgrigoriae"
"1530","Niltava davidi","Niltava davidi"
"1531","Niltava sundara","Niltava sundara"
"1532","Niltava sumatrana","Niltava sumatrana"
"1533","Cyornis hoevelli","Cyornis hoevelli"
"1534","Cyornis hyacinthinus","Cyornis hyacinthinus"
"1535","Cyornis concretus","Cyornis concretus"
"1536","Cyornis ruckii","Cyornis ruckii"
"1537","Cyornis herioti","Cyornis herioti"
"1538","Cyornis hainanus","Cyornis hainanus"
"1539","Cyornis unicolor","Cyornis unicolor"
"1540","Cyornis rubeculoides","Cyornis rubeculoides"
"1541","Cyornis banyumas","Cyornis banyumas"
"1542","Cyornis lemprieri","Cyornis lemprieri"
"1543","Cyornis superbus","Cyornis superbus"
"1544","Cyornis caerulatus","Cyornis caerulatus"
"1545","Cyornis turcosus","Cyornis turcosus"
"1546","Cyornis tickelliae","Cyornis tickelliae"
"1547","Cyornis rufigastra","Cyornis rufigastra"
"1548","Cyornis omissus","Cyornis omissus"
"1549","Muscicapella hodgsoni","Muscicapella hodgsoni"
"1550","Culicicapa ceylonensis","Culicicapa ceylonensis"
"1551","Culicicapa helianthea","Culicicapa helianthea"
"1552","Copsychus saularis","Copsychus saularis"
"1553","Copsychus malabaricus","Copsychus malabaricus"
"1554","Copsychus luzoniensis","Copsychus luzoniensis"
"1555","Copsychus niger","Copsychus niger"
"1556","Copsychus cebuensis","Copsychus cebuensis"
"1557","Trichixos pyrropygus","Trichixos pyrropygus"
"1558","Rhyacornis fuliginosa","Rhyacornis fuliginosa"
"1559","Rhyacornis bicolor","Rhyacornis bicolor"
"1560","Hodgsonius phaenicuroides","Hodgsonius phaenicuroides"
"1561","Cinclidium leucurum","Cinclidium leucurum"
"1562","Cinclidium diana","Cinclidium diana"
"1563","Cinclidium frontale","Cinclidium frontale"
"1564","Enicurus velatus","Enicurus velatus"
"1565","Enicurus ruficapillus","Enicurus ruficapillus"
"1566","Enicurus immaculatus","Enicurus immaculatus"
"1567","Enicurus schistaceus","Enicurus schistaceus"
"1568","Enicurus leschenaulti","Enicurus leschenaulti"
"1569","Enicurus maculatus","Enicurus maculatus"
"1570","Cochoa purpurea","Cochoa purpurea"
"1571","Cochoa viridis","Cochoa viridis"
"1572","Cochoa beccarii","Cochoa beccarii"
"1573","Cochoa azurea","Cochoa azurea"
"1574","Saxicola torquatus","Saxicola torquatus"
"1575","Saxicola leucurus","Saxicola leucurus"
"1576","Saxicola caprata","Saxicola caprata"
"1577","Saxicola jerdoni","Saxicola jerdoni"
"1578","Saxicola ferreus","Saxicola ferreus"
"1579","Saxicola gutturalis","Saxicola gutturalis"
"1580","Aplonis cantoroides","Aplonis cantoroides"
"1581","Aplonis grandis","Aplonis grandis"
"1582","Aplonis mysolensis","Aplonis mysolensis"
"1583","Aplonis minor","Aplonis minor"
"1584","Aplonis panayensis","Aplonis panayensis"
"1585","Aplonis metallica","Aplonis metallica"
"1586","Aplonis mystacea","Aplonis mystacea"
"1587","Aplonis brunneicapillus","Aplonis brunneicapillus"
"1588","Sturnus malabaricus","Sturnus malabaricus"
"1589","Sturnus sericeus","Sturnus sericeus"
"1590","Sturnus contra","Sturnus contra"
"1591","Sturnus nigricollis","Sturnus nigricollis"
"1592","Sturnus burmannicus","Sturnus burmannicus"
"1593","Sturnus melanopterus","Sturnus melanopterus"
"1594","Acridotheres tristis","Acridotheres tristis"
"1595","Acridotheres fuscus","Acridotheres fuscus"
"1596","Acridotheres grandis","Acridotheres grandis"
"1597","Acridotheres cinereus","Acridotheres cinereus"
"1598","Acridotheres cristatellus","Acridotheres cristatellus"
"1599","Ampeliceps coronatus","Ampeliceps coronatus"
"1600","Mino anais","Mino anais"
"1601","Mino dumontii","Mino dumontii"
"1602","Basilornis celebensis","Basilornis celebensis"
"1603","Basilornis galeatus","Basilornis galeatus"
"1604","Basilornis corythaix","Basilornis corythaix"
"1605","Streptocitta albicollis","Streptocitta albicollis"
"1606","Sarcops calvus","Sarcops calvus"
"1607","Gracula religiosa","Gracula religiosa"
"1608","Enodes erythrophris","Enodes erythrophris"
"1609","Scissirostrum dubium","Scissirostrum dubium"
"1610","Sitta nagaensis","Sitta nagaensis"
"1611","Sitta castanea","Sitta castanea"
"1612","Sitta frontalis","Sitta frontalis"
"1613","Sitta solangiae","Sitta solangiae"
"1614","Sitta oenochlamys","Sitta oenochlamys"
"1615","Sitta azurea","Sitta azurea"
"1616","Sitta magna","Sitta magna"
"1617","Sitta formosa","Sitta formosa"
"1618","Parus elegans","Parus elegans"
"1619","Parus amabilis","Parus amabilis"
"1620","Parus major","Parus major"
"1621","Parus monticolus","Parus monticolus"
"1622","Parus spilonotus","Parus spilonotus"
"1623","Parus semilarvatus","Parus semilarvatus"
"1624","Sylviparus modestus","Sylviparus modestus"
"1625","Melanochlora sultanea","Melanochlora sultanea"
"1626","Aegithalos concinnus","Aegithalos concinnus"
"1627","Psaltria exilis","Psaltria exilis"
"1628","Eurochelidon sirintarae","Eurochelidon sirintarae"
"1629","Riparia paludicola","Riparia paludicola"
"1630","Hirundo concolor","Hirundo concolor"
"1631","Hirundo rustica","Hirundo rustica"
"1632","Hirundo tahitica","Hirundo tahitica"
"1633","Hirundo neoxena","Hirundo neoxena"
"1634","Hirundo smithii","Hirundo smithii"
"1635","Hirundo daurica","Hirundo daurica"
